,t_set,f_occ,t_i,V_g,t_e,leave,leave_fwb,t_set_default,f_occ_pred,t_e_air,hhv,gamma_s_deg,h_s_deg,theta_z_deg,I_th,I_bh,t_e_we
2022-11-01 02:30:00,12.0,0.0,19.641,0.0,17.352,1.0,1,12.0,0,17.33550055987535,11.597859933333336,-115.80196788503848,0.0,128.1491558513425,0.0,0.0,16.420920000000024
2022-11-01 02:45:00,12.0,0.0,19.624,0.0,17.23,1.0,1,12.0,0,17.16578751260271,11.597859933333336,-112.16958723574906,0.0,125.97869241640028,0.0,0.0,16.179315000000017
2022-11-01 03:00:00,12.0,0.0,19.572,0.0,17.35,1.0,1,12.0,0,16.997307852724965,11.597859933333336,-108.68908980801967,0.0,123.7524309769204,0.0,0.0,15.93771000000001
2022-11-01 03:15:00,12.0,0.0,19.572,0.0,17.228,1.0,1,12.0,0,16.828717450864566,11.597859933333336,-105.34164144710292,0.0,121.48067910474042,0.0,0.0,15.696105000000005
2022-11-01 03:30:00,12.0,0.0,19.572,0.0,17.23,1.0,1,12.0,0,16.659818514685988,11.597859933333336,-102.10949422575044,0.0,119.17272673376516,0.0,0.0,15.454499999999996
2022-11-01 03:45:00,12.0,0.0,19.572,0.0,17.168,1.0,1,12.0,0,16.405429467021392,11.597859933333336,-98.9760687942202,0.0,116.83699841383748,0.0,0.0,15.11972
2022-11-01 04:00:00,12.0,0.0,19.572,0.0,16.987,1.0,1,12.0,0,16.146937858467908,11.597859933333336,-95.92595072429016,0.0,114.48119594157082,0.0,0.0,14.784940000000006
2022-11-01 04:15:00,12.0,0.0,19.572,0.0,16.862,1.0,1,12.0,0,15.883433682141886,11.597859933333336,-92.94483423211383,0.0,112.11242883964736,0.0,0.0,14.450160000000013
2022-11-01 04:30:00,12.0,0.0,19.573,0.0,16.678,1.0,1,12.0,0,15.615054608590777,11.597859933333336,-90.01943664105812,0.0,109.73733206695512,0.0,0.0,14.115380000000016
2022-11-01 04:45:00,12.0,0.0,19.573,0.0,16.496,1.0,1,12.0,0,15.414170609776196,11.597859933333336,-87.13739947162586,0.0,107.36217143249225,0.0,0.0,13.84987750000002
2022-11-01 05:00:00,12.0,0.0,19.572,0.0,16.009,1.0,1,12.0,0,15.211626053202451,11.597859933333336,-84.28718671456903,0.0,104.99293773586568,0.0,0.0,13.584375000000025
2022-11-01 05:15:00,12.0,0.0,19.573,0.0,15.521,1.0,1,12.0,0,15.007395484536715,11.597859933333336,-81.4579871833079,0.0,102.63543086314664,0.0,0.0,13.318872500000026
2022-11-01 05:30:00,12.0,0.0,19.572,0.0,15.155,1.0,1,12.0,0,14.80154203090598,11.597859933333336,-78.63962542439484,0.0,100.29533505949752,0.0,0.0,13.05337000000003
2022-11-01 05:45:00,12.0,0.0,19.572,0.0,14.85,1.0,1,12.0,0,14.567312877160967,11.597859933333336,-75.82248414309908,0.0,97.97828646348688,1.3155555555555556,0.24,12.80025750000003
2022-11-01 06:00:00,12.0,0.0,19.521,0.0,14.3,1.0,1,12.0,0,14.330402892641672,11.597859933333336,-72.99744020706594,0.0,95.68993377176238,2.631111111111111,0.48,12.547145000000029
2022-11-01 06:15:00,12.0,0.0,19.505,0.0,13.812,1.0,1,12.0,0,14.090916322250209,11.597859933333336,-70.15581582576517,0.0,93.43599263604388,3.9466666666666654,0.72,12.294032500000029
2022-11-01 06:30:00,12.0,0.0,19.505,0.0,13.568,1.0,1,12.0,0,13.85016725451532,11.597859933333336,-67.28934631743152,0.0,91.22229409166292,5.262222222222222,0.96,12.040920000000028
2022-11-01 06:45:00,12.0,0.0,19.505,0.0,13.444,1.0,1,12.0,0,13.815309834934077,11.597859933333336,-64.39016585262462,0.9451730151919832,89.05482698480802,24.03555555555556,11.35111111111111,12.040065000000029
2022-11-01 07:00:00,12.0,0.0,19.504,0.0,13.564,1.0,1,12.0,0,13.782558010720525,11.597859933333336,-61.45081260903012,3.0602259916900607,86.93977400830994,42.80888888888889,21.74222222222222,12.039210000000026
2022-11-01 07:15:00,12.0,0.0,19.505,0.0,13.69,1.0,1,12.0,0,13.752289687931766,11.597859933333336,-58.46425479688723,5.116459423354598,84.8835405766454,61.58222222222222,32.13333333333333,12.038355000000024
2022-11-01 07:30:00,12.0,0.0,19.505,0.0,13.812,1.0,1,12.0,0,13.72659066528333,11.597859933333336,-55.42393893002837,7.10722462189139,82.89277537810861,80.35555555555555,42.52444444444444,12.037500000000025
2022-11-01 07:45:00,12.0,0.0,19.538,0.0,18.384,1.0,1,12.0,0,13.825730425468176,11.597859933333336,-52.32386142817357,9.02561894946217,80.97438105053783,111.0,66.83555555555554,12.181910000000016
2022-11-01 08:00:00,12.0,0.0,19.556,0.0,18.568,1.0,1,12.0,0,13.929137209933108,11.597859933333336,-49.15866404001093,10.864486937090774,79.13551306290923,141.64444444444445,91.14666666666666,12.32632000000001
2022-11-01 08:15:00,12.0,0.0,19.64,0.0,22.159,1.0,1,12.0,0,14.038065415653742,11.597859933333336,-45.923752570343694,12.6164354112249,77.3835645887751,172.2888888888889,115.45777777777778,12.470730000000003
2022-11-01 08:30:00,12.0,0.0,19.741,0.0,23.26,1.0,1,12.0,0,14.153076668970192,11.597859933333336,-42.61543688572038,14.273865015511618,75.72613498448838,202.9333333333333,139.76888888888888,12.615139999999997
2022-11-01 08:45:00,12.0,0.0,19.81,0.0,23.504,1.0,1,12.0,0,14.329399766056454,11.597859933333336,-39.23108810802237,15.829020491452836,74.17097950854716,229.44,163.87555555555554,12.855525
2022-11-01 09:00:00,12.0,0.0,19.894,0.0,25.226,1.0,1,12.0,0,14.512524139248857,11.597859933333336,-35.769306299458485,17.274061778756064,72.72593822124394,255.94666666666663,187.98222222222225,13.095910000000003
2022-11-01 09:15:00,12.0,0.0,20.013,0.0,25.775,1.0,1,12.0,0,14.702746029087525,11.597859933333336,-32.23008892664465,18.601157327930864,71.39884267206914,282.4533333333333,212.0888888888889,13.336295000000009
2022-11-01 09:30:00,12.0,0.0,20.081,0.0,25.728,1.0,1,12.0,0,14.900115196727588,11.597859933333336,-28.614987248192147,19.802599916379563,70.19740008362044,308.96,236.1955555555556,13.57668000000001
2022-11-01 09:45:00,12.0,0.0,20.114,0.0,25.229,1.0,1,12.0,0,15.080223276441655,11.597859933333336,-24.92723496444083,20.870943696941367,69.12905630305863,322.7288888888889,247.3155555555556,13.79384500000002
